TwinBee (Japan).nes,6
Advanced Dungeons & Dragons - Heroes of the Lance (USA).nes,21
Bases Loaded 4 (USA).nes,16
Best of the Best - Championship Karate (Europe).nes,3
Adventure Island 3 (USA).nes,12
Knight Rider (Japan).nes,8
International Cricket (Australia).nes,8
Swamp Thing (Europe).nes,4
Druaga no Tou (Japan).nes,1
Front Line (Japan).nes,5
Blades of Steel (USA).nes,7
Wizardry - Proving Grounds of the Mad Overlord (USA).nes,1
Egypt (Japan).nes,0
Baseball Simulator 1.000 (USA).nes,11
Chip's Challenge (USA) (v0.924B) (Proto).nes,4
Lunar Pool (Europe).nes,0
Motocross Champion (Japan).nes,0
Hiryuu no Ken II - Dragon no Tsubasa (Japan).nes,6
"Hunt for Red October, The (USA) (Rev A).nes",4
Grand Master (Japan).nes,2
Booby Kids (Japan).nes,0
Rockman (Japan) (En).nes,1
Total Funpak (Australia) (Unl).nes,12
Tetris (Bulletproof) (Japan) (Rev B).nes,0
River City Ransom (USA).nes,3
Paperboy (Europe).nes,1
Family Trainer 1 - Athletic World (Japan) (Rev 1).nes,6
Wagyan Land 3 (Japan).nes,29
Pyramid (Japan) (Hacker inc.) (Unl).nes,6
Musashi no Bouken (Japan).nes,0
To the Earth (USA).nes,0
Senjou no Ookami (Japan).nes,0
James Bond Jr (Europe).nes,3
Family Trainer 4 - Jogging Race (Japan).nes,0
Dragon Ball Z II - Gekishin Freeza!! (Japan) (Rev 1).nes,53
F15 City War (USA) (v1.0) (Unl).nes,0
Kyuukyoku Harikiri Stadium - Heisei Gannen Ban (Japan).nes,12
Pictionary - The Game of Video Quick Draw (USA).nes,2
Mike Tyson's Punch-Out!! (Europe).nes,16
Bandai Golf - Challenge Pebble Beach (USA).nes,2
Nintendo - NTF2 Test Cartridge (USA).nes,0
Pyramid (USA) (Rev 1) (Unl).nes,2
Arabian Dream Scheherazade (Japan).nes,25
Son Son (Japan).nes,0
God Slayer - Haruka Tenkuu no Sonata (Japan).nes,2
Pro Action Replay (Europe) (v1.2) (No Cart Present) (Unl).nes,0
Parodius (Europe) (Beta).nes,5
Advanced Dungeons & Dragons - Hillsfar (USA).nes,2
"Adventures of Bayou Billy, The (Europe).nes",5
Super Mario Bros. + Tetris + Nintendo World Cup (Europe) (Rev A).nes,23
R.C. Pro-Am (USA).nes,0
Danny Sullivan's Indy Heat (USA).nes,3
Time Lord (Europe).nes,0
"Volleyball (USA, Europe).nes",0
Parodius (Europe).nes,5
Bio Miracle Bokutte Upa (Japan).nes,19
Hatris (Japan).nes,0
Jackal (USA).nes,0
Sangokushi II - Haou no Tairiku (Japan).nes,3
"Last Starfighter, The (USA).nes",0
Rescue - The Embassy Mission (USA) (Beta).nes,9
Battletoads-Double Dragon (Europe).nes,7
Sea of Dreamland (Unknown) (Unl).nes,3
S.C.A.T. - Special Cybernetic Attack Team (USA) (Beta).nes,2
Tecmo World Wrestling (Europe).nes,5
Super Mario Bros. 3 (USA) (Rev A).nes,40
Game Master Kid (Unknown) (Proto) (RAM) (Unl).bin,0
Hoshi no Kirby - Yume no Izumi no Monogatari (Japan).nes,8
Zanac (USA).nes,0
Moon Crystal (Japan).nes,5
Alpha Mission (USA).nes,0
Touch Down Fever (Japan).nes,6
Hyokkori Hyoutan-jima - Nazo no Kaizokusen (Japan).nes,2
Ultimate Air Combat (USA).nes,6
Super Star Force (Japan).nes,0
Yoshi's Cookie (Europe).nes,0
Chip 'n Dale - Rescue Rangers (USA).nes,14
Spy vs Spy (USA).nes,0
Chitei Senkuu Vazolder (Japan).nes,0
Monster in My Pocket (Europe).nes,8
Super Team Games (USA).nes,3
Gambler Jiko Chuushinha - Mahjong Game (Japan).nes,0
Oeka Kids - Anpanman no Hiragana Daisuki (Japan).nes,6
Dynamite Bowl (Japan) (Rev A).nes,2
Artelius (Japan).nes,3
Pro Yakyuu Satsujin Jiken! (Japan).nes,0
"Kid Icarus (USA, Europe).nes",1
"Black Bass, The (USA).nes",0
Western Kids (Japan).nes,4
SD Hero Soukessen - Taose! Aku no Gundan (Japan).nes,4
Zhi Li Xiao Zhuang Yuan (China) (Unl).nes,3
Alpha Mission (Europe).nes,0
Faxanadu (Japan).nes,8
R.C. Pro-Am II (Europe).nes,17
Star Force (USA) (Beta).nes,0
"Flintstones, The - The Rescue of Dino & Hoppy (Europe).nes",8
Heavy Barrel (USA).nes,4
Pac-Man (USA) (Tengen).nes,5
QIX (USA).nes,0
Super Pinball (Japan).nes,5
Colorful Dragon (Asia) (PAL) (Unl).nes,0
Pachio-kun 5 (Japan).nes,3
RoboCop 2 (USA).nes,11
Rollerball (Australia).nes,0
Blue Shadow (Europe).nes,2
Wurm - Journey to the Center of the Earth! (USA).nes,0
Arkista's Ring (USA).nes,1
Hook (USA).nes,4
Contra Force (USA).nes,3
'89 Dennou Kyuusei Uranai (Japan).nes,11
Tsuru Pika Hagemaru - Mezase! Tsuru Seko no Akashi (Japan).nes,3
Minna no Taabou no Nakayoshi Daisakusen (Japan).nes,4
Danny Sullivan's Indy Heat (Europe).nes,3
Micro Machines (USA) (Aladdin Compact Cartridge) (Unl).nes,3
WWF Wrestlemania (Europe).nes,0
R.C. Pro-Am (Europe).nes,0
Fantasy Zone (USA) (Unl).nes,1
Niji no Silk Road (Japan).nes,29
Silent Service (Europe).nes,0
Shikinjou (Japan).nes,0
"Golf '92, The (Japan).nes",4
"King of Kings, The (USA) (v1.1) (Unl).nes",3
Mei Guo Fu Hao - American Man (China) (Unl).nes,17
Paperboy (Japan).nes,2
Pinball Quest (Australia).nes,3
Pro Action Replay (Europe) (v1.2) (Cart Present) (Unl).nes,0
Magical Mathematics (Asia) (PAL) (Unl).nes,0
Volguard II (Japan).nes,1
Super Mario Bros. + Duck Hunt (USA).nes,13
RoadBlasters (Europe).nes,2
"Jungle Book, The (USA).nes",2
Mahjong Taikai (Japan).nes,3
Mystery Quest (USA).nes,1
Capcom's Gold Medal Challenge '92 (USA).nes,1
Operation Wolf (Japan).nes,7
"Three Stooges, The (USA).nes",3
Bakushou!! Ai no Gekijou (Japan).nes,5
Tom Sawyer no Bouken (Japan).nes,6
Kung Fu (Europe).nes,10
Igo Shinan (Japan).nes,0
Family Trainer 7 - Daiundoukai (Japan).nes,3
Masuzoe Youichi - Asa Made Famicom (Japan).nes,9
Fantasy Zone (Japan).nes,0
Hissatsu Shigoto Nin (Japan).nes,10
Goonies 2 - Fratelli Saigo no Chousen (Japan).nes,0
Family Trainer 8 - Totsugeki! Fuuun Takeshi-jou (Japan).nes,2
Karaoke Studio Senyou Cassette Vol. 2 (Japan).nes,3
Koushien (Japan).nes,5
Osomatsu-kun (Japan).nes,1
Baseball (USA) (GameCube Edition).nes,2
Mezase Pachi Pro - Pachio-kun (Japan) (Beta).nes,1
Street Fighter 2010 - The Final Fight (USA).nes,1
Navy Blue (Japan).nes,2
Rygar (USA).nes,0
Taboo - The Sixth Sense (USA).nes,0
Q Boy (Asia) (Unl).nes,6
Flight of the Intruder (USA).nes,19
Cabal (USA).nes,3
Peepar Time (Japan).nes,0
"Black Bass, The (Japan).nes",27
Mirai Senshi - Lios (Japan).nes,1
Ganbare Goemon Gaiden - Kieta Ougon Kiseru (Japan).nes,8
David Crane's A Boy and His Blob - Trouble on Blobolonia (USA).nes,0
Punch-Out!! (Japan) (Gold Edition).nes,16
"Simpsons, The - Bartman Meets Radioactive Man (Europe).nes",5
Juvei Quest (Japan).nes,10
Dungeon Magic - Sword of the Elements (USA).nes,0
Secret Ties (USA) (Proto).nes,6
Wait and See (Russia) (Unl).nes,6
San Guo Zhi - Qun Xiong Zheng Ba (Asia) (Unl).nes,6
Super Turrican (Europe).nes,0
StarTropics (Europe).nes,9
Miracle Ropit's - 2100 Nen no Daibouken (Japan).nes,1
"Jetsons, The - Cogswell's Caper (Europe).nes",8
Higemaru - Makai-jima - Nanatsu no Shima Daibouken (Japan).nes,2
Famicom Wars (Japan) (Rev 0B).nes,27
Kyuukyoku Tiger (Japan).nes,1
Datach - SD Gundam - Gundam Wars (Japan).nes,2
Tennis (Europe).nes,12
Twin Cobra (USA).nes,1
"Dr. Mario (Japan, USA).nes",13
Bad News Baseball (USA).nes,10
Jikuu Yuuden - Debias (Japan).nes,3
"Fantastic Adventures of Dizzy, The (USA) (Aladdin Compact Cartridge) (Unl).nes",5
Jeopardy! 25th Anniversary Edition (USA).nes,1
Super Mario Bros. 3 (Japan) (Rev A).nes,40
DuckTales 2 (Germany).nes,0
Quarter Back Scramble (Japan).nes,6
Duck Maze (Australia) (Unl).nes,0
Digital Devil Story - Megami Tensei II (Japan).nes,11
Mega Man 5 (USA).nes,4
NFL (USA).nes,1
Crash 'n' the Boys - Street Challenge (USA).nes,1
Dragon Fighter (Japan).nes,4
Karate Champ (USA).nes,0
Outlanders (Japan).nes,1
Sanrio Cup - Pon Pon Volley (Japan).nes,0
Gunhed - Aratanaru Tatakai (Japan).nes,4
Bases Loaded (USA).nes,0
Soreike! Anpanman - Minna de Hiking Game! (Japan).nes,3
Faxanadu (Europe).nes,1
Star Wars (Europe).nes,4
Millipede (USA).nes,10
Krazy Kreatures (USA) (Unl).nes,0
Chester Field - Ankoku Shin e no Chousen (Japan).nes,1
Korean Igo (Korea) (Unl).nes,2
Mahjong Block (Unknown) (Unl).nes,1
Famicom Yakyuu Ban (Japan).nes,71
Battleship (USA).nes,1
Final Fantasy II (Japan).nes,4
Robo Warrior (Europe).nes,1
U-Force Test (USA).nes,0
Dig Dug II (Japan).nes,0
Town & Country Surf Designs - Thrilla's Surfari (USA).nes,6
Kiwi Kraze - A Bird-Brained Adventure! (USA).nes,3
Bomberman II (USA).nes,0
Destination Earthstar (USA).nes,0
MotorCity Patrol (USA).nes,1
Bingo 75 (Asia) (Unl).nes,1
Wheel of Fortune - Junior Edition (USA).nes,1
Yie Ar Kung-Fu (Japan) (Rev 1.2).nes,0
Twin Eagle (Asia) (PAL) (Unl).nes,0
Kiteretsu Daihyakka (Japan).nes,5
"Adventures of Rocky and Bullwinkle and Friends, The (USA).nes",4
"Elite (Europe) (En,Fr,De).nes",3
Isaki Shuugorou no Keiba Hisshou Gaku (Japan).nes,6
Donald Duck (Japan).nes,0
Teenage Mutant Ninja Turtles - Tournament Fighters (USA).nes,3
Roger Clemens' MVP Baseball (USA).nes,4
Conan (USA).nes,1
Solar Jetman - Hunt for the Golden Warpship (Europe).nes,6
Nobunaga no Yabou - Sengoku Gunyuu Den (Japan).nes,12
Track & Field II (Europe).nes,5
Days of Thunder (USA).nes,3
Hollywood Squares (USA).nes,1
Mendel Palace (USA).nes,1
AV Soccer (Japan) (Unl).nes,3
Jackie Chan's Action Kung Fu (Europe).nes,6
Stanley - The Search for Dr. Livingston (USA).nes,5
Touch Down Fever (USA).nes,9
Digital Devil Story - Megami Tensei (Japan).nes,0
Seicross (Japan).nes,5
Adventures of Lolo 2 (USA).nes,1
